image,tot_root_length,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals,tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle
sim-15-1.2-0.01-0.7-4-1.3-0.3-2-5.rsml,9.895,1,9,9.895,0.575,0,0,0,0,0,0
sim-15-1.2-0.01-0.8-4-1.3-0.15-1-10.rsml,38.592,3,37,12.864,0.503,0,0,0,0,0,0
sim-15-1.2-0.01-0.6-4-1.3-0.95-2-10.rsml,4131.618,9,879,98.122,2.063,0.317,113,3188,28.748,1.243,55.997
sim-15-0.5-0.01-0.8-4-1.3-1-4-5.rsml,34.918,1,34,34.918,1.612,0,0,0,0,0,0
sim-15-1.3-0.01-0.6-4-1.3-0.5-5-15.rsml,9167.232,15,1464,98.2,1.422,0.304,231,7573,33.308,0.932,60.481
sim-15-1.3-0.01-0.2-4-1.3-0.55-2-20.rsml,25159.842,22,4284,195.185,2.838,0.287,717,20487,29.101,0.793,60.196
sim-15-1.4-0.01-0.3-4-1.3-0.95-4-20.rsml,45184.379,25,5244,210.315,2.21,0.276,980,39430,40.741,0.775,56.578
sim-15-1.1-0.01-0.2-4-1.3-0.35-5-20.rsml,11901.522,18,2554,142.405,2.899,0.313,370,9140,25.238,0.918,61.951
sim-15-0.5-0.01-0.3-4-1.3-0.95-4-20.rsml,27058.531,9,2375,264.39,2.909,0.263,464,24440,53.188,0.992,56.547
sim-15-0.8-0.01-0.5-4-1.3-0.35-4-5.rsml,9.166,1,9,9.166,0.554,0,0,0,0,0,0
sim-15-1.2-0.01-0.6-4-1.3-0.95-1-5.rsml,111.098,3,94,32.026,1.692,0.52,2,14,7.51,0.953,65.159
sim-15-0.5-0.01-0.7-4-1.3-0.5-5-5.rsml,14.963,1,14,14.963,0.83,0,0,0,0,0,0
sim-15-1.3-0.01-0.8-4-1.3-0.55-4-10.rsml,1448.68,9,462,52.046,1.565,0.306,49,954,20.005,1.278,54.974
