 ,image,tot_root_length,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals,tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle
130,sim-10-2.5-0.04-0.4-6-1-0.4-2-10.rsml,659.774,17,515,30.858,1.154,0.301,15,129,9.013,0.559,37.032
131,sim-10-4-0.025-0.2-4-0.8-0.2-2-20.rsml,9421.927,40,3825,96.088,2.211,0.308,411,5378,13.573,0.59,31.775
132,sim-16-1-0.025-0.4-4-0.8-0.2-3-10.rsml,197.419,6,153,26.012,0.629,0.45,5,39,8.27,0.324,32.512
133,sim-10-1-0.01-0.4-4-1-0.2-5-10.rsml,94.841,6,86,14.779,0.602,0,1,6,6.169,0.333,48.79
134,sim-10-1-0.025-0.4-4-1-0.4-4-20.rsml,15287.671,16,2014,126.374,2.18,0.325,342,13092,38.789,1.022,34.726
135,sim-10-4-0.025-0.4-6-0.8-0.4-4-20.rsml,34196.711,40,6534,163.87,1.78,0.193,775,27213,35.667,0.782,27.029
136,sim-16-4-0.01-0.3-6-1.2-0.3-5-10.rsml,1205.308,28,1010,36.735,0.947,0.35,28,162,6.312,0.365,53.012
137,sim-16-4-0.04-0.4-6-0.8-0.2-4-10.rsml,707.424,24,609,25.929,0.619,0.384,12,80,7.095,0.313,31.089
138,sim-10-2.5-0.025-0.2-6-1.2-0.4-4-10.rsml,537.799,17,511,30.584,1.183,0.171,3,16,5.959,0.364,46.489
139,sim-10-1-0.025-0.4-4-0.8-0.3-2-10.rsml,174.606,6,136,23.189,0.87,0.48,5,34,7.095,0.434,31.415
140,sim-10-1-0.025-0.3-6-1-0.2-3-10.rsml,88.628,6,86,14.771,0.63,0,0,0,0,0,0
141,sim-16-4-0.025-0.3-4-1.2-0.2-4-20.rsml,29556.291,40,6018,150.947,1.843,0.295,962,23019,24.447,0.661,52.381
142,sim-16-4-0.025-0.3-4-1.2-0.4-4-20.rsml,71221.078,40,9402,235.499,1.753,0.277,1769,60882,34.936,0.593,48.374
143,sim-16-2.5-0.01-0.3-6-1-0.4-5-20.rsml,36524.109,40,6910,173.268,2.05,0.202,798,29162,37.084,0.743,40.855
144,sim-16-4-0.025-0.2-6-0.8-0.4-1-10.rsml,1652.788,28,1340,48.427,1.146,0.289,43,273,6.903,0.314,29.732
145,sim-10-2.5-0.04-0.4-4-1-0.3-1-10.rsml,404.57,15,325,22.272,0.872,0.496,12,66,5.874,0.421,38.552
146,sim-16-1-0.04-0.3-4-0.8-0.2-1-10.rsml,177.38,6,153,25.994,0.616,0.384,3,20,7.138,0.273,36.945
147,sim-16-1-0.025-0.3-4-0.8-0.2-4-10.rsml,166.449,6,143,24.338,0.588,0.388,3,18,6.806,0.267,19.661
148,sim-16-4-0.04-0.3-4-1-0.4-4-20.rsml,81881.555,40,9796,245.475,1.808,0.275,1834,71085,39.293,0.611,35.875
149,sim-10-4-0.025-0.3-4-1-0.4-3-10.rsml,1119.227,28,857,31.101,1.188,0.39,37,231,6.713,0.447,41.622
150,sim-16-4-0.04-0.3-6-1-0.4-4-10.rsml,2253.972,28,1489,53.682,1.259,0.27,68,716,11.042,0.467,39.098
151,sim-16-2.5-0.01-0.4-4-1-0.3-3-10.rsml,1010.345,17,608,36.274,0.926,0.377,39,375,10.094,0.449,40.09
152,sim-16-1-0.01-0.3-6-1-0.4-1-20.rsml,18115.604,17,3107,183.266,2.757,0.214,354,14809,42.373,1.006,41.196
153,sim-10-2.5-0.01-0.2-4-1-0.2-5-10.rsml,179.861,12,176,14.988,0.598,0,0,0,0,0,0
154,sim-16-1-0.01-0.2-4-0.8-0.2-3-10.rsml,159.248,6,149,25.382,0.625,0,1,6,6.956,0.215,41.632
155,sim-10-1-0.01-0.4-4-1-0.4-2-20.rsml,14102.974,16,2010,126.156,2.614,0.294,325,11924,37.183,1.234,41.034
156,sim-16-1-0.04-0.3-4-1.2-0.4-1-20.rsml,27023.73,17,3200,188.96,2.13,0.278,527,23535,45.183,0.771,41.849
157,sim-10-4-0.01-0.4-6-0.8-0.4-4-20.rsml,35224.746,40,6541,163.999,1.804,0.207,826,28237,34.703,0.792,31.284
158,sim-10-4-0.04-0.4-4-1-0.2-5-10.rsml,378.165,24,345,14.893,0.596,0,4,20,5.185,0.337,70.11
159,sim-16-1-0.01-0.3-6-1.2-0.4-2-20.rsml,18139.943,17,3213,189.547,2.793,0.21,366,14726,40.759,1.014,51.874
160,sim-10-2.5-0.025-0.2-6-1-0.4-5-20.rsml,15344.17,40,5236,131.397,2.943,0.207,454,9851,22.221,0.75,37.915
161,sim-10-1-0.025-0.4-4-1.2-0.3-3-10.rsml,167.984,6,136,23.19,0.871,0.469,5,27,5.769,0.42,53.774
162,sim-16-4-0.01-0.4-4-1.2-0.4-5-10.rsml,2726.325,28,1326,47.893,1.156,0.315,110,1331,12.594,0.537,60.16
163,sim-10-4-0.025-0.2-4-1.2-0.4-5-10.rsml,957.557,28,862,31.29,1.227,0.46,15,71,5.429,0.358,62.036
164,sim-10-1-0.025-0.2-6-1.2-0.2-2-10.rsml,77.67,5,77,15.534,0.599,0,0,0,0,0,0
