"","image","diam_max","diam_mean","diam_mode","length","area","width","depth","width_depth_ratio","com_x","com_x.1","ellips_025","ellips_050","ellips_075","ellips_100","rect_020","rect_040","rect_060","rect_080","directionality","tip_count","cross_hori_0_mean","cross_hori_0_max","cross_hori_1_mean","cross_hori_1_max","cross_hori_2_mean","cross_hori_2_max","cross_hori_3_mean","cross_hori_3_max","cross_vert_mean","cross_vert_max","coord_x0","coord_x1","coord_x2","coord_x3","coord_x4","coord_x5","coord_x6","coord_x7","coord_x8","coord_x9"
"32","sim-15-1-0.01-0.2-5-1.3-0.19-5-20",2.92608,0.77056855,0.12192,234086.39,24682.947,94.85376,253.5936,0.37403846,0.39656723,0.35102758,0.22403829,0.28863138,0.26468003,0.13692628,0.31307667,0.21662913,0.10334302,0.04340782,21.836327,136,1817.0125,10800,1031.9231,6300,391.92307,1600,140.38461,200,2158.8542,13700,0.437018,0.24807198,0.11568123,0.10411311,0.08483291,0.11696658,0.21079692,0.99357325,0.78791773,0.48586118
"33","sim-15-1-0.01-0.2-5-1.3-0.21-1-20",3.7579298,0.8217981,0.17081499,218643.19,18404.633,134.60222,238.97017,0.5632595,0.48204583,0.33198857,0.21520984,0.27955562,0.29990906,0.15886436,0.34701055,0.16719878,0.10763276,0.06525532,30.18981,190,1790.1841,8200,1034.2858,2700,378.85715,1700,114.28571,200,1453.9642,11900,0.37944162,0.17766498,0.15101522,0.37182742,0.4314721,0.4543147,0.93654823,0.930203,0.9543147,0.41878173
"34","sim-15-1-0.01-0.2-5-1.3-0.21-2-20",3.19786,0.87548447,0.13324416,255828.8,27133.041,104.463425,280.21246,0.37280077,0.42667082,0.33750573,0.2166485,0.36020508,0.26025614,0.12790103,0.34422544,0.21731636,0.14398873,0.093039475,28.510933,144,1817.4089,13800,1165.3993,6100,334.60077,3400,132.3194,1600,2285.8247,14600,0.3469388,0.12755102,0.2780612,0.35204083,0.43239796,0.4630102,0.40816328,0.9502551,0.70790815,0.39158162
"35","sim-15-1-0.01-0.2-5-1.3-0.21-4-20",3.1194377,0.55417955,0.1247775,239572.81,29188.203,97.326454,262.4071,0.37089872,0.46495467,0.3371128,0.18520704,0.275532,0.27295423,0.2074837,0.30731612,0.16363147,0.08309607,0.04813998,31.56033,159,2190.1638,7400,1290.114,4200,408.74524,1600,126.23574,200,2663.2979,11700,0.475641,0.06410257,0.13333334,0.015384615,0.63076925,0.6653846,0.6166667,0.90897435,0.8333333,0.5205128
"36","sim-15-1-0.01-0.2-5-1.3-0.21-5-20",3.1575375,0.90634173,0.93556666,224536,27134.709,93.08888,245.93709,0.3785069,0.51765877,0.3454149,0.19264916,0.3001491,0.25471064,0.21291396,0.30665264,0.18223663,0.10277208,0.05067923,35.60388,142,2148.1633,9600,1162.3574,5100,385.1711,1700,126.61597,200,2390.404,15000,0.5012563,0.26758793,0.20100503,0.18592964,0.46859297,0.5025126,0.5,0.9334171,0.96231157,0.55150753
"37","sim-15-1-0.01-0.2-5-1.3-0.23-1-20",4.4026666,0.92057234,0.13758333,264160,31046.229,110.066666,292.227,0.37664783,0.5845163,0.32691836,0.20924513,0.34587908,0.278701,0.124943495,0.34522766,0.21536955,0.12996446,0.089513145,29.586262,162,2151.8071,8200,1242.1052,4900,358.6466,1900,118.42105,200,2528.3918,15600,0.46625,0.325,0.4125,0.4375,0.65,0.68125,0.65875,0.925,0.99375,0.50375
"38","sim-15-1-0.01-0.2-5-1.3-0.23-2-20",3.7576125,0.58543766,0.13917083,267208,32427.36,108.83159,295.738,0.368,0.51517123,0.33881092,0.19176066,0.3432559,0.23817617,0.18665774,0.3082565,0.22075157,0.13096341,0.06759541,28.500055,159,2219.277,7100,1330.0752,5200,433.8346,3700,135.33835,200,2762.533,15700,0.4629156,0.11508951,0.04859335,0.5025575,0.5140665,0.5460358,0.8005115,0.8299233,0.85038364,0.5076726
"39","sim-15-1-0.01-0.2-5-1.3-0.23-4-20",2.6411765,0.68878204,0.15536332,198865.06,20894.969,120.40658,221.39275,0.54385966,0.56210846,0.336308,0.16697772,0.33362085,0.2510428,0.17210074,0.32146388,0.20329985,0.12370344,0.050657663,52.56701,200,2406.0605,13900,1208.9888,5400,385.95505,1400,120.90395,200,1825.2632,12700,0.38193548,0.08,0.34064516,0.5535484,0.55741936,0.5896774,1,0.9264516,0.80129033,0.42451614
"40","sim-15-1-0.01-0.2-5-1.3-0.23-5-20",3.58648,0.87949955,0.14943667,191278.94,20910.523,117.30778,211.75175,0.5539873,0.5160332,0.33243337,0.1961852,0.28893223,0.22202688,0.25505078,0.30857077,0.17864059,0.10528911,0.08645099,45.809772,295,2080,4500,1342.9379,3100,381.35593,2200,131.81818,200,1716.0105,10100,0.533758,0.08789809,0.12993631,0.43312103,0.40382165,0.43312103,0.5057325,0.98216563,0.9286624,0.5745223
"41","sim-15-1-0.01-0.2-5-1.3-0.25-1-20",4.1771355,1.1807138,0.14403917,276555.2,34635.8,115.23133,311.26862,0.370199,0.59919065,0.33077213,0.24176061,0.34288305,0.2564865,0.114733785,0.3347944,0.2190584,0.16488329,0.101920895,38.59375,115,2281.323,6500,1237.7778,5200,312.22223,2500,124.90707,300,2637.2795,15300,0.5025,0.1475,0.51875,0.5925,0.58125,0.61625,0.68375,0.71125,0.8425,0.53875
"42","sim-15-1-0.01-0.2-5-1.3-0.25-2-20",3.9872708,0.99906266,0.15949084,204148.27,22866.998,125.51929,227.75291,0.55112046,0.39569598,0.3297085,0.18891717,0.26955885,0.2861308,0.18441848,0.33824587,0.16092764,0.069258936,0.0014367916,53.609287,294,2434.3374,8400,1323.4637,4500,345.2514,2000,139.54802,200,1787.2123,9200,0.39008895,0.07496823,0.12579416,0.12706481,0.1321474,0.16264294,0.7484117,0.75349426,0.9021601,0.43074968
"43","sim-15-1-0.01-0.2-5-1.3-0.25-4-20",3.6957002,1.0782833,0.15398751,295656,38029.215,123.19,332.921,0.37002775,0.47730777,0.33385077,0.17408681,0.26926705,0.2625697,0.21183336,0.3075157,0.18876512,0.026793487,0.0304823,37.575,144,2392.607,9600,1319.6296,6100,426.66666,2200,129.62962,200,2875.377,12900,0.51875,0.1875,0.05625,0.25,0.8725,0.905,0.87875,0.88625,0.915,0.555
"44","sim-15-1-0.01-0.2-5-1.3-0.25-5-20",2.8552773,1.098367,0.16795748,214985.6,23530.844,134.366,241.85878,0.5555556,0.48840988,0.33322597,0.17077802,0.30493933,0.26470378,0.21770164,0.33528194,0.16957173,0.103140615,0.050806567,59.47959,340,2339.645,8900,1315.5555,7400,423.8889,2800,121.22905,200,1855.9194,12300,0.54875,0.175,0.105,0.1375,0.565,0.595,0.5875,0.7325,0.91125,0.585
"45","sim-15-1-0.01-0.2-5-1.3-0.27-1-20",3.52044,1.1853297,0.16002001,307238.4,35722.707,125.935745,346.1233,0.3638465,0.43463522,0.34719938,0.18291606,0.2876424,0.30364317,0.17541738,0.29364493,0.19157048,0.116319284,0.07182885,37.964943,158,2250.5837,11400,1151.8518,7100,440.74075,2500,135.92592,200,2653.3333,18600,0.5158831,0.10546379,0.11944091,0.10292249,0.4498094,0.4815756,0.4815756,0.61753494,0.84243965,0.5527319
"46","sim-15-1-0.01-0.2-5-1.3-0.27-2-20",4.4100747,1.1574956,0.14700249,282244.78,38943.02,117.602,319.28943,0.36832413,0.51781374,0.335192,0.2152774,0.31918284,0.26403287,0.1609579,0.33338365,0.22574873,0.09928883,0.04229297,36.791546,130,2465.3696,9600,1370.5883,4900,472.42648,2700,136.80298,200,2959.8997,14400,0.45625,0.25375,0.1075,0.2525,0.2925,0.33,0.86,0.91625,0.7475,0.49625
"47","sim-15-1-0.01-0.2-5-1.3-0.27-4-20",4.4145203,1.1541748,0.18393834,235441.08,26417.775,147.15067,265.97482,0.5532504,0.44374996,0.33204487,0.19562326,0.31179547,0.20546152,0.14769222,0.3156876,0.19902104,0.11262124,0.04859946,57.10173,333,2472.353,10100,1430.3867,5500,465.74585,2100,133.51955,200,2043.3673,17200,0.45375,0.1675,0.15875,0.12,0.42875,0.4575,0.47875,0.9625,0.9075,0.4875
