 ;image;tot_root_length;n_primary;tot_prim_length;mean_prim_length;mean_prim_diameter;mean_lat_density;n_laterals;tot_lat_length;mean_lat_length;mean_lat_diameter;mean_lat_angle
1152;sim-0.15-0.2-10-1-2-0.5-1-20-2.rsml;5336.576;15;1426;95.581;0.931;0.506;344;3721;11.346;0.203;15.674
1153;sim-0.15-0.2-10-1-2-0.5-1-20-3.rsml;5332.923;15;1426;95.626;0.931;0.526;344;3733;11.333;0.203;14.656
1154;sim-0.15-0.2-10-1-2-0.5-1-20-4.rsml;5295.292;15;1429;95.686;0.931;0.525;346;3688;11.156;0.204;15.14
1155;sim-0.15-0.2-10-1-2-0.5-1-20-5.rsml;5250.875;15;1427;95.592;0.931;0.511;337;3643;11.326;0.203;15.522
1156;sim-0.15-0.2-10-1-2-1-0.6-20-1.rsml;1729.755;15;810;54.444;0.559;0.536;146;836;6.254;0.133;38.531
1157;sim-0.15-0.2-10-1-2-1-0.6-20-2.rsml;1797.561;15;813;54.56;0.559;0.506;153;901;6.4;0.133;40.488
1158;sim-0.15-0.2-10-1-2-1-0.6-20-3.rsml;1732.548;15;810;54.55;0.559;0.529;149;842;6.136;0.132;39.59
1159;sim-0.15-0.2-10-1-2-1-0.6-20-4.rsml;1757.758;15;809;54.46;0.559;0.528;151;864;6.231;0.133;36.533
1160;sim-0.15-0.2-10-1-2-1-0.6-20-5.rsml;1750.955;15;811;54.438;0.559;0.537;151;856;6.188;0.133;39.332
1161;sim-0.15-0.2-10-1-2-1-0.8-20-1.rsml;3043.883;15;1123;75.385;0.745;0.546;235;1798;8.141;0.166;36.614
1162;sim-0.15-0.2-10-1-2-1-0.8-20-2.rsml;3012.875;15;1124;75.418;0.745;0.548;235;1767;8.007;0.166;34.442
1163;sim-0.15-0.2-10-1-2-1-0.8-20-3.rsml;3067.5;15;1124;75.411;0.745;0.548;235;1830;8.24;0.167;36.798
1164;sim-0.15-0.2-10-1-2-1-0.8-20-4.rsml;3021.653;15;1122;75.397;0.745;0.545;235;1785;8.045;0.167;34.209
1165;sim-0.15-0.2-10-1-2-1-0.8-20-5.rsml;3035.441;15;1125;75.439;0.745;0.545;235;1786;8.101;0.167;34.951
1166;sim-0.15-0.2-10-1-2-1-1-20-1.rsml;4813.897;15;1428;95.711;0.931;0.519;342;3215;9.878;0.203;33.145
1167;sim-0.15-0.2-10-1-2-1-1-20-2.rsml;4850.436;15;1427;95.606;0.931;0.513;338;3240;10.108;0.203;32.496
1168;sim-0.15-0.2-10-1-2-1-1-20-3.rsml;4927.811;15;1426;95.624;0.931;0.519;343;3316;10.185;0.204;34.777
1169;sim-0.15-0.2-10-1-2-1-1-20-4.rsml;4854.337;15;1426;95.623;0.931;0.525;343;3246;9.971;0.203;34.178
1170;sim-0.15-0.2-10-1-2-1-1-20-5.rsml;4877.329;15;1428;95.634;0.931;0.496;336;3266;10.246;0.204;33.91
1171;sim-0.15-0.2-10-1-4-0.5-0.6-20-1.rsml;1325.594;15;809;54.532;0.559;0.371;73;474;6.954;0.137;18.303
1172;sim-0.15-0.2-10-1-4-0.5-0.6-20-2.rsml;1342.63;15;812;54.539;0.559;0.371;72;487;7.285;0.137;19.813
1173;sim-0.15-0.2-10-1-4-0.5-0.6-20-3.rsml;1344.006;15;809;54.309;0.559;0.345;77;492;6.875;0.137;19.405
1174;sim-0.15-0.2-10-1-4-0.5-0.6-20-4.rsml;1341.75;15;812;54.535;0.559;0.332;73;489;7.174;0.137;18.394
1175;sim-0.15-0.2-10-1-4-0.5-0.6-20-5.rsml;1316.986;15;809;54.371;0.559;0.359;69;464;7.267;0.137;18.88
1176;sim-0.15-0.2-10-1-4-0.5-0.8-20-1.rsml;2187.319;15;1120;75.378;0.745;0.319;116;998;9.109;0.169;17.259
1177;sim-0.15-0.2-10-1-4-0.5-0.8-20-2.rsml;2196.112;15;1121;75.32;0.745;0.32;116;997;9.192;0.17;15.231
1178;sim-0.15-0.2-10-1-4-0.5-0.8-20-3.rsml;2186.8;15;1121;75.31;0.745;0.32;116;1002;9.113;0.17;17.49
1179;sim-0.15-0.2-10-1-4-0.5-0.8-20-4.rsml;2187.515;15;1125;75.442;0.745;0.318;116;998;9.102;0.17;16.391
1180;sim-0.15-0.2-10-1-4-0.5-0.8-20-5.rsml;2192.485;15;1124;75.449;0.745;0.318;116;1003;9.144;0.169;18.454
1181;sim-0.15-0.2-10-1-4-0.5-1-20-1.rsml;3336.669;15;1428;95.672;0.931;0.298;170;1816;11.186;0.209;17.339
1182;sim-0.15-0.2-10-1-4-0.5-1-20-2.rsml;3379.074;15;1430;95.7;0.931;0.288;172;1857;11.3;0.209;15.688
1183;sim-0.15-0.2-10-1-4-0.5-1-20-3.rsml;3334.609;15;1427;95.597;0.931;0.323;170;1821;11.18;0.209;15.319
1184;sim-0.15-0.2-10-1-4-0.5-1-20-4.rsml;3347.209;15;1428;95.748;0.931;0.295;169;1821;11.308;0.209;16.899
1185;sim-0.15-0.2-10-1-4-0.5-1-20-5.rsml;3353.285;15;1427;95.582;0.931;0.31;170;1839;11.291;0.211;14.879
1186;sim-0.15-0.2-10-1-4-1-0.6-20-1.rsml;1259.888;15;813;54.559;0.559;0.348;73;403;6.048;0.137;37.733
1187;sim-0.15-0.2-10-1-4-1-0.6-20-2.rsml;1251.815;15;810;54.418;0.559;0.379;70;401;6.222;0.136;39.261
1188;sim-0.15-0.2-10-1-4-1-0.6-20-3.rsml;1262.539;15;812;54.54;0.559;0.368;74;404;6.006;0.136;37.775
